# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.3543477944822969,0.0,1.0403652740292528,0.9612008637380588,0.0,0.0
 0.06918206041338754,0.01196539370760401,0.17295515103346887,2.5000000000000004,0.3543477944822969,0.0,1.0403652740292528,0.9612008637380588,0.0,0.0
 0.09770058310202502,0.02386350984618925,0.4172066087885315,8.564660253329977,1.0655868440436795,0.0,1.0498829040053506,0.9524871737457149,24.93954744173192,874.5034837189683
 0.11949395599931653,0.0356970138009165,0.5429863477533541,5.77146729685218,1.779365728814105,0.0,1.0587796791024626,0.9444835594575344,32.7521071719529,358.48327686770915
 0.1377948609540159,0.04746855926334146,0.6432220423833311,5.477089514321428,2.495354108647364,0.0,1.0670296226369524,0.9371811042402909,39.12311339824782,348.12520157146326
 0.15385809912569595,0.05918078666643122,0.72913240019928,5.348258981019867,3.2132142250055318,0.0,1.0746083735725407,0.930571568761832,44.689626629814676,346.53742739000086
 0.1683286328680729,0.07083632160808619,0.8054668299844214,5.2751633867931265,3.932601641626822,0.0,1.081493342643503,0.9246473931644295,49.71395177460278,347.21076874133365
 0.18159049894531432,0.0824377732680205,0.8747978295334675,5.227846454280251,4.653166025377356,0.0,1.0876638582738989,0.9194016997006597,54.33355905976831,348.33765159891067
 0.19389454125681976,0.09398773282298145,0.9387126005053349,5.194615668063901,5.374551962828202,0.0,1.0931013007286072,0.9148282957246959,58.629994857566565,349.18896481530095
 0.20541545401006067,0.10548877186539836,0.9982749881671997,5.169936526523,6.096399808048631,0.0,1.0977892228417974,0.9109216771242709,62.65543891193589,349.403223562902
 0.21628078123643574,0.11694344083060743,1.054240588116242,5.15084348432585,6.818346556441408,0.0,1.1017134558766952,0.9076770322318011,66.44500743983903,348.7762907594861
 0.22658708474918274,0.1283542674378333,1.107169664964046,5.135602379877555,7.540026739343666,0.0,1.1048621991227936,0.9050902463619,70.02318357980356,347.1832685248384
 0.23640960653077817,0.1397237551500934,1.1574917281999044,5.123130735138461,8.261073333769433,0.0,1.1072260924728117,0.9031579067710197,73.40748236128123,344.54479783581206
 0.24580836573082093,0.15105438165814256,1.2055449306539965,5.112717692977324,8.98111868157981,0.0,1.1087982705506136,0.9018773085778842,76.61068152561042,340.81085557704426
 0.25483217802584296,0.16234859739348728,1.251601359391658,5.103877078988936,9.699795412054357,0.0,1.1095743986002633,0.901246461040835,79.64225174220465,335.9522691165238
 0.2635214026035654,0.17360882407537598,1.2958839515735217,5.096265125359534,10.416737362166007,0.0,1.1095526888823053,0.9012640949997048,82.50931296559648,329.95593539410226
 0.2719098771994122,0.1848374532964985,1.3385781995074428,5.08963190459675,11.13158048841573,0.0,1.1087338982568016,0.9019296709266691,85.2172964323749,322.8219190315204
 0.280026316728949,0.19603684515195413,1.3798404848209005,5.083791379618927,11.843963764654603,0.0,1.1071213064906777,0.9032433881791798,87.77041628246138,314.56155630745957
 0.2878953468993775,0.20720932691578225,1.4198041590708164,5.078602239968241,12.553530060054367,0.0,1.1047206761878847,0.9052061951540097,90.1720135813284,305.1960974672732
 0.29553828298149676,0.21835719176912807,1.4585840747021819,5.073955246347234,13.259926992024116,0.0,1.1015401946927292,0.9078198006918363,92.42481218996149,294.75565207244665
 0.3029737266389943,0.22948269758380002,1.4962800240512246,5.069764641553294,13.962807748864298,0.0,1.0975903988407119,0.9110866868516817,94.53111195744606,283.278290376214
 0.3102180302720469,0.24058806576467148,1.5329793922776067,5.065962180124364,14.661831877356917,0.0,1.092884083975028,0.9150101229059986,96.49293622968456,270.80922772032176
 0.31728566318323237,0.2516754801540589,1.568759233638199,5.062492889799929,15.356666031090237,0.0,1.087436198068309,0.9195941810437908,98.31214530591333,257.4000516282675
 0.32418950384048206,0.2627470860008448,1.6036879175592875,5.0593120054719165,16.04698467549931,0.0,1.081263722559636,0.9248437537816738,99.99052392441477,243.10796002207692
 0.3309410757199874,0.273804988996756,1.6378264489011714,5.056382713707427,16.73247074610141,0.0,1.07438554173877,0.930764573005715,101.52984857984316,227.99500366737848
 0.33755073952331777,0.2848512543818467,1.6712295381082605,5.053674468322945,17.412816257250235,0.0,1.0668223016815608,0.9373632313683046,102.93193895974271,212.12733682355588
 0.3440278512683803,0.2958879061208469,1.703946476979243,5.051161715084251,18.087722858646657,0.0,1.058596261345242,0.9446472054692702,104.19869657349949,195.57445719883407
 0.3503808934012622,0.3069169261516666,1.736021861674107,5.048822914120014,18.75690233799988,0.0,1.049731136605436,0.9526248818661758,105.332133072076,178.40846556173378
 0.35661758437125624,0.3179402537069751,1.767496194431302,5.046639781997262,19.420077068250976,0.0,1.040251939952576,0.961305585304257,106.33439005423928,160.7033260081892
 0.3627449708593604,0.3289597847093955,1.7984063880765382,5.044596697996102,20.076980398683283,0.0,1.0301848168721914,0.9706996100332391,107.20775190330023,142.5341539588729
 0.3687695059196224,0.3399773712405059,1.8287861919474553,5.042680234579981,20.727356989463704,0.0,1.019556880886471,0.9808182542307332,107.95465281135577,123.97652276639892
 0.37469711559257474,0.35099482108348823,1.8586665537804976,5.040878782789325,21.37096308976478,0.0,1.0083960491825756,0.9916738575191942,108.5776789989811,105.10580520647167
 0.3805332560178814,0.36201389733892614,1.8880759290261417,5.0391822510163085,22.007566760185696,0.0,0.9967308796164468,1.0032798425837988,109.0795669789706,85.99655652787585
